기준연월,SGG_ID,행정구역별,전월대비방문인구증감률,코드분류,인구감소소멸지역코드,티맵_자연관광지_검색건수,티맵_역사관광지_검색건수,티맵_휴양관광지_검색건수,티맵_공연_행사_검색건수,티맵_문화시설_검색건수,티맵_레포츠(육상해상항공)_검색건수,티맵_쇼핑_검색건수,티맵_식음료_검색건수,티맵_숙박_검색건수,티맵_기타관광지_검색건수,비씨카드_내국인_소비금액,비씨카드_외국인_소비금액,비씨카드_거주민_소비금액,외국인관광객수_무박,외국인관광객수_1박,외국인관광객수_2박,외국인관광객수_3박이상,외지인관광객수_무박,외지인관광객수_1박,외지인관광객수_2박,외지인관광객수_3박이상,남녀성비,전입인구,전출인구,순이동인구,고령인구비율,혼인건수,이혼건수,주민등록인구,지가변동률
201812,48240,사천시,2.141594,2,1,6061,1602,134,1209,936,2921,5168,17579,5735,8321,6639150624,8000,8365202964,2686.013,166.764,142.3053,727.0913,950600,85515.5,28007,57494.5,101.6,"1,120","1,297",-177,19.9,37,124,113888,0.333
201812,48250,김해시,-4.11199,1,0,5195,3331,6717,4240,2212,6039,29457,81459,8795,3347,23236829527,523980,48985113034,10780.84,879.3083,624.3948,2322.863,2607175,200315.5,79002,233852.5,102.2,"4,693","4,651",42,10.1,36,163,533672,0.26
201812,48270,밀양시,4.206189,2,2,1755,4342,194,229,500,1548,646,9175,4144,3005,3476074475,,6935157072,3422.243,203.42,135.6134,893.4527,688996,75358.5,23359,47901,95.6,879,885,-6,25.8,34,79,106744,0.344
201812,48310,거제시,-4.0067,1,0,19390,6331,2852,513,1117,3026,3345,36606,37213,12190,7891427932,145817,20296855831,30891.33,1436.729,1154.692,3726.205,1195352,243726,101528,185307.5,109.6,"2,353","2,711",-358,9.4,41,95,250516,-0.184
201812,48330,양산시,-3.60938,1,0,3766,10031,1463,3775,2142,13906,8363,54529,6866,2562,18995102695,4480000,30796920827,6494.926,536.8727,499.847,1697.012,2075448,166344.5,61369,176239,101,"3,514","3,168",346,12.0,41,119,348639,0.242
201812,48720,의령군,3.925015,2,2,256,1081,,,336,947,371,1789,378,337,877769523,,1564978939,337.2239,9.197015,12.26269,125.6925,229295.5,18795,6433,13503,94.2,272,244,28,34.6,6,13,27667,0.201
201812,48730,함안군,1.08239,2,2,841,847,0,104,211,1122,391,4806,601,386,5010229862,,4001066393,1390.284,145.1993,145.1993,519.0877,610575,36519,12635,35598.5,102.5,567,653,-86,22.1,15,19,67025,0.156
201812,48740,창녕군,-0.24016,3,2,2031,674,1558,,953,2366,640,4395,5207,298,4413790039,,4158043371,1712.678,179.3189,161.021,1086.892,570181.5,59815,14259,33267.5,98.7,662,590,72,28.4,10,31,63396,0.305
201812,48820,고성군(경남),2.695201,2,2,1756,1037,59,7,1998,1780,671,3675,2386,1244,2813374910,,2553997065,1807.509,310.271,202.0369,458.1909,500839.5,46193,15309,29634.5,100.4,461,427,34,28.5,9,14,53243,0.129
201812,48840,남해군,1.692577,2,2,6406,6258,421,28,768,1981,961,10557,10325,10869,1774017262,,2469332692,30733.14,1765,677.8137,905.9885,419335,85473.5,25732,28311.5,91.7,265,276,-11,36.2,7,8,43990,0.302
201812,48850,하동군,12.5576,2,2,850,2519,186,,253,603,2738,2655,2282,817,1480117279,,2270039661,891.9599,90.92795,77.93825,177.526,284910.5,39256,14539,20583.5,98.1,749,530,219,31.2,11,17,47533,0.102
201812,48860,산청군,9.440318,2,2,840,1491,51,,238,99,197,2330,1639,1361,1990188983,,2265655775,499.494,36.84792,57.31898,106.4495,308700,41849.5,11270,17731,95.8,383,305,78,33.6,7,11,35952,0.212
201812,48870,함양군,9.399532,2,2,1126,623,59,5,50,273,221,1596,638,369,1085536249,,2102342971,306.2403,14.13417,23.55695,42.40251,243050.5,29312.5,11746,21280,91.9,277,300,-23,31.5,6,20,40044,0.108
201812,48880,거창군,4.220511,2,2,656,385,910,101,122,452,457,3121,892,896,1471875811,,3665099165,514.3408,42.27459,56.36612,105.6865,348852,35231,14182,29956.5,94.5,378,366,12,26.0,5,27,62455,0.166
201812,48890,합천군,13.23547,2,2,706,3226,1500,27,338,702,198,2669,1147,683,1150935807,,2325014046,422.1068,44.84885,52.76335,15.82901,321811,37548,11991,21647.5,92,313,357,-44,37.2,6,13,45916,0.286
